case_id,user_id,conversation_id,turn_id,intent,intent_accuracy,operation_accuracy,query_constraint_f1,retrieval_facet_f1,ndcg_at_5,precision_at_5,correctness,faithfulness,personalization_adherence,completeness
USER-01-CONV-01-T01,USER-01,CONV-01,1,recommendation,1.0,1.0,1.0,1.0,0.36761588252665667,0.4,4.0,3.0,4.0,3.0
USER-01-CONV-01-T02,USER-01,CONV-01,2,recommendation,1.0,1.0,1.0,0.8,0.6445672393542531,0.6,4.0,4.0,5.0,3.0
USER-01-CONV-01-T03,USER-01,CONV-01,3,itinerary,1.0,1.0,1.0,0.25,0.7058448886378986,1.0,3.0,4.0,4.0,2.0
USER-01-CONV-01-T04,USER-01,CONV-01,4,travel_information,1.0,1.0,1.0,0.0,0.62582365685249,0.6,4.0,5.0,4.0,2.0
USER-01-CONV-01-T05,USER-01,CONV-01,5,transport,1.0,0.0,0.888888888888889,1.0,0.5543487992962802,0.6,4.0,4.0,5.0,3.0
USER-01-CONV-01-T06,USER-01,CONV-01,6,food_search,1.0,1.0,0.8571428571428571,0.4,0.8165832016561192,0.8,4.0,4.0,5.0,4.0
USER-01-CONV-01-T07,USER-01,CONV-01,7,itinerary,1.0,1.0,0.6666666666666666,0.5,0.2509244064997311,0.4,2.0,2.0,4.0,3.0
USER-01-CONV-01-T08,USER-01,CONV-01,8,attraction_search,0.0,1.0,0.6666666666666666,0.0,0.8747985572776802,0.8,4.0,4.0,5.0,3.0
USER-01-CONV-01-T09,USER-01,CONV-01,9,accommodation_search,1.0,1.0,0.6666666666666666,0.0,0.9008932381035897,0.2,4.0,4.0,4.0,4.0
USER-01-CONV-01-T10,USER-01,CONV-01,10,recommendation,1.0,1.0,0.9090909090909091,0.6666666666666666,0.426100434153218,0.6,3.0,2.0,5.0,3.0
USER-01-CONV-02-T01,USER-01,CONV-02,1,recommendation,1.0,0.0,1.0,0.6666666666666666,0.11825870054054863,0.0,4.0,4.0,4.0,3.0
USER-01-CONV-02-T02,USER-01,CONV-02,2,recommendation,1.0,1.0,0.8,0.6666666666666666,1.0,1.0,4.0,4.0,5.0,2.0
USER-01-CONV-02-T03,USER-01,CONV-02,3,transport,0.0,0.0,0.6666666666666666,0.0,0.31436708405664937,0.2,4.0,4.0,3.0,5.0
USER-01-CONV-02-T04,USER-01,CONV-02,4,itinerary,1.0,1.0,1.0,0.5454545454545454,0.3478003668941017,0.6,4.0,4.0,5.0,2.0
USER-01-CONV-02-T05,USER-01,CONV-02,5,accommodation_search,1.0,1.0,0.8,0.0,0.0,0.0,3.0,3.0,2.0,2.0
USER-01-CONV-02-T06,USER-01,CONV-02,6,food_search,1.0,1.0,0.6666666666666666,0.4,0.0,0.0,5.0,5.0,3.0,1.0
USER-01-CONV-02-T07,USER-01,CONV-02,7,travel_information,1.0,1.0,0.6666666666666666,1.0,0.8503449055347546,0.0,4.0,5.0,4.0,1.0
USER-01-CONV-02-T08,USER-01,CONV-02,8,recommendation,1.0,1.0,0.8571428571428571,0.0,1.0,1.0,4.0,5.0,4.0,3.0
USER-01-CONV-02-T09,USER-01,CONV-02,9,transport,1.0,0.0,0.6666666666666666,1.0,0.36906796772329514,0.2,3.0,5.0,5.0,2.0
USER-01-CONV-02-T10,USER-01,CONV-02,10,itinerary,1.0,1.0,0.6666666666666666,0.6,0.22888675273460507,0.2,4.0,4.0,3.0,1.0
USER-02-CONV-02-01-T01,USER-02,CONV-02-01,1,recommendation,1.0,1.0,1.0,0.8,0.5870133870600276,1.0,4.0,4.0,5.0,4.0
USER-02-CONV-02-01-T02,USER-02,CONV-02-01,2,recommendation,1.0,1.0,1.0,1.0,0.9030970842075382,1.0,3.0,3.0,5.0,3.0
USER-02-CONV-02-01-T03,USER-02,CONV-02-01,3,itinerary,1.0,1.0,1.0,0.8571428571428571,0.830419897363192,0.8,2.0,4.0,3.0,1.0
USER-02-CONV-02-01-T04,USER-02,CONV-02-01,4,food_search,1.0,1.0,1.0,0.8,1.0,1.0,4.0,4.0,5.0,5.0
USER-02-CONV-02-01-T05,USER-02,CONV-02-01,5,food_search,1.0,0.0,0.6666666666666666,0.5,0.6556177759226313,0.8,4.0,4.0,5.0,4.0
USER-02-CONV-02-01-T06,USER-02,CONV-02-01,6,attraction_search,1.0,1.0,1.0,0.0,1.0,1.0,4.0,5.0,5.0,5.0
USER-02-CONV-02-01-T07,USER-02,CONV-02-01,7,accommodation_search,1.0,1.0,1.0,0.3333333333333333,0.6863024195657901,0.2,5.0,5.0,5.0,4.0
USER-02-CONV-02-01-T08,USER-02,CONV-02-01,8,travel_information,0.0,0.0,0.7499999999999999,0.0,0.6683577236343724,0.8,3.0,3.0,4.0,2.0
USER-02-CONV-02-01-T09,USER-02,CONV-02-01,9,recommendation,0.0,0.0,1.0,0.6666666666666665,1.0,1.0,3.0,4.0,4.0,2.0
USER-02-CONV-02-01-T10,USER-02,CONV-02-01,10,itinerary,1.0,0.0,0.888888888888889,0.5,0.6089419728454368,1.0,2.0,2.0,4.0,1.0
USER-02-CONV-02-02-T01,USER-02,CONV-02-02,1,recommendation,1.0,1.0,0.0,1.0,0.9239155777350733,0.8,4.0,5.0,4.0,3.0
USER-02-CONV-02-02-T02,USER-02,CONV-02-02,2,itinerary,1.0,1.0,0.8571428571428571,1.0,0.5962544979603741,0.6,3.0,4.0,3.0,3.0
USER-02-CONV-02-02-T03,USER-02,CONV-02-02,3,attraction_search,0.0,1.0,1.0,0.5,0.8275814557102948,0.6,4.0,4.0,5.0,5.0
